Report Name: Log Report
Location IP,Collection Time,Location,Status,HTTP Status Code,DNS Response Time (ms),Connection Time (ms),SSL Handshake Time (ms),First Byte Time (ms),Download Time (ms),Response Time (ms),Content Length (B),Resolved IP,Reason
66.165.253.194,October 10 2024 5:20:08 AM EDT,New York - US,Up,200,42,2,19,270,14,347,638006,104.18.17.112,-
198.211.100.169,October 10 2024 5:14:57 AM EDT,New York - US,Up,200,30,1,15,185,15,247,638006,104.18.17.112,-
23.105.39.121,October 10 2024 5:14:57 AM EDT,Virginia - US,Up,200,11,1,12,180,19,224,638006,104.18.17.112,-
134.195.196.243,October 10 2024 5:14:57 AM EDT,Toronto - CA,Up,200,46,0,6,330,13,396,638006,104.18.16.112,-
64.235.50.24,October 10 2024 5:14:57 AM EDT,Las Vegas - US,Up,200,21,7,17,407,15,467,638006,104.18.16.112,-
66.165.251.146,October 10 2024 5:09:54 AM EDT,New York - US,Up,200,54,2,23,328,13,420,638006,104.18.16.112,-
198.211.100.169,October 10 2024 5:04:49 AM EDT,New York - US,Up,200,31,2,10,311,13,367,638006,104.18.16.112,-
45.58.47.160,October 10 2024 4:59:43 AM EDT,New York - US,Up,200,49,2,17,248,14,330,638006,104.18.16.112,-
209.151.153.107,October 10 2024 4:54:37 AM EDT,New York - US,Up,200,9,6,8,143,16,182,638006,104.18.17.112,-
209.151.153.107,October 10 2024 4:49:33 AM EDT,New York - US,Up,200,9,1,9,172,14,206,638006,104.18.17.112,-
172.96.165.98,October 10 2024 4:44:29 AM EDT,New York - US,Up,200,16,1,10,1651,13,1692,638006,104.18.16.112,-
174.129.225.90,October 10 2024 4:44:29 AM EDT,Virginia - US,Up,200,38,2,10,1635,17,1702,638006,104.18.16.112,-
162.223.228.142,October 10 2024 4:44:29 AM EDT,Toronto - CA,Up,200,67,12,19,1570,13,1681,638006,104.18.17.112,-
45.10.22.81,October 10 2024 4:44:29 AM EDT,Las Vegas - US,Up,200,15,9,18,1997,15,2054,638006,104.18.17.112,-
66.165.253.194,October 10 2024 4:39:27 AM EDT,New York - US,Up,200,42,3,21,198,23,287,638212,104.18.16.112,-
209.151.153.107,October 10 2024 4:34:25 AM EDT,New York - US,Up,200,8,1,10,184,13,216,638212,104.18.16.112,-
45.58.47.160,October 10 2024 4:29:22 AM EDT,New York - US,Up,200,88,6,18,253,15,380,638212,104.18.17.112,-
66.165.233.146,October 10 2024 4:24:18 AM EDT,New York - US,Up,200,62,2,10,193,14,281,638212,104.18.16.112,-
209.151.153.107,October 10 2024 4:19:16 AM EDT,New York - US,Up,200,7,3,12,255,12,289,638212,104.18.17.112,-
45.58.47.160,October 10 2024 4:14:13 AM EDT,New York - US,Up,200,88,2,16,167,14,288,638212,104.18.17.112,-
207.244.104.49,October 10 2024 4:14:13 AM EDT,Virginia - US,Up,200,5,1,15,189,15,238,638212,104.18.17.112,-
172.105.0.109,October 10 2024 4:14:13 AM EDT,Toronto - CA,Up,200,113,2,9,312,14,450,638212,104.18.17.112,-
64.235.50.24,October 10 2024 4:14:13 AM EDT,Las Vegas - US,Up,200,23,7,20,527,19,596,638212,104.18.16.112,-
45.58.47.160,October 10 2024 4:09:10 AM EDT,New York - US,Up,200,88,7,16,171,15,297,638212,104.18.16.112,-
172.96.165.98,October 10 2024 4:04:08 AM EDT,New York - US,Up,200,18,1,16,303,4,343,638212,104.18.17.112,-
172.96.165.98,October 10 2024 3:59:05 AM EDT,New York - US,Up,200,12,2,10,261,13,298,638212,104.18.17.112,-
104.236.114.81,October 10 2024 3:54:02 AM EDT,New York - US,Up,200,14,3,19,231,16,283,638212,104.18.17.112,-
198.211.100.169,October 10 2024 3:49:01 AM EDT,New York - US,Up,200,28,2,16,144,15,206,638212,104.18.17.112,-
66.165.253.194,October 10 2024 3:43:58 AM EDT,New York - US,Up,200,21,2,8,1968,14,2013,638212,104.18.16.112,-
174.129.225.90,October 10 2024 3:43:58 AM EDT,Virginia - US,Up,200,32,1,9,1942,19,2003,638212,104.18.16.112,-
134.195.196.243,October 10 2024 3:43:58 AM EDT,Toronto - CA,Up,200,31,1,12,1954,15,2013,638212,104.18.17.112,-
45.10.22.81,October 10 2024 3:43:58 AM EDT,Las Vegas - US,Up,200,18,9,22,2035,16,2100,638212,104.18.16.112,-
45.58.47.160,October 10 2024 3:38:57 AM EDT,New York - US,Up,200,56,1,19,146,11,234,638011,104.18.17.112,-
45.58.47.160,October 10 2024 3:33:55 AM EDT,New York - US,Up,200,89,8,38,279,9,423,638011,104.18.17.112,-
209.151.153.107,October 10 2024 3:28:52 AM EDT,New York - US,Up,200,9,2,8,305,14,338,638011,104.18.17.112,-
66.165.233.146,October 10 2024 3:23:50 AM EDT,New York - US,Up,200,51,3,9,206,12,281,638011,104.18.16.112,-
66.165.251.146,October 10 2024 3:18:48 AM EDT,New York - US,Up,200,68,2,18,103,33,224,638011,104.18.16.112,-
66.165.233.146,October 10 2024 3:13:47 AM EDT,New York - US,Up,200,48,2,9,159,15,233,638011,104.18.17.112,-
131.153.220.98,October 10 2024 3:13:47 AM EDT,Virginia - US,Up,200,10,0,8,157,15,190,638011,104.18.17.112,-
159.203.37.151,October 10 2024 3:13:47 AM EDT,Toronto - CA,Up,200,65,1,14,212,14,307,638011,104.18.17.112,-
64.235.50.24,October 10 2024 3:13:47 AM EDT,Las Vegas - US,Up,200,27,7,18,332,21,405,638011,104.18.16.112,-
